ID,id,name,alternate_name,organization_logo_x,organization_x_uid,description,email,organization_forms_x_filename,organization_forms_x_url,url,organization_status_x,organization_status_sort,legal_status,tax_status,tax_id,year_incorporated,organization_services,organization_phones,organization_locations,organization_contact,organization_details,organization_airs_taxonomy_x,flag
218,1270724872915789,"NYC Human Resources Administration, Human Resources Administration",,,,,,,,,,4,,,,,1107249340978249,,,0,,,
219,1255368163438917,"Town of Harrison Senior Services",,,,,,,,,,4,,,,,1088621444656423,,,0,,,
220,1284114710934347,"Calvary Hospital",,,,,,,,,,4,,,,,866884149771351,,1160596143883349,0,,,
221,1290516279271741,"Concierge Health",,,,,,,,,,4,,,,,1012363399092830,,,0,,,
222,1288718690585705,"Enea, Scanlan & Sirignano, LLP",,,,,,,,,,4,,,,,1201949109066241,,,0,,,
223,1248205088392388,"Geriatric Medical Associates",,,,,,,,,,4,,,,,1250787331434938,,,0,,,
224,1296714727444270,"Mount Sinai Hospital",,,,,,,,,,4,,,,,775642325697758,,1151559479926531,0,,,
225,1263268381661439,"Integrity Senior Services",,,,,,,,,,4,,,,,1250503896058178,,,0,,,
226,1275780377457872,"Samuel Field Y",,,,,,,,,,4,,,,,1272518728948067,,1286900051399672,0,,,
227,1288044313088279,"Alzheimer's Foundation of America",,,,,,,,,,4,,,,,"911239601037044,1263717593353769,1155024736332656,861551426759241,1266327100220698",597220093899977,"792647573931865,1149107541488250",0,,,
228,1252378773278748,"Keane & Beane, PC",,,,,,,,,,4,,,,,1141987247581089,,,0,,,
229,1276803301395536,"The Jewish Museum",,,,,,,,,,4,,,,,1080670404294287,,,0,,,
230,1278015369614430,"AE Cares",,,,,,,,,,4,,,,,545735833730297,,1292974982287152,0,,,
231,1289369597440419,"Bleakley, Platt & Schmidt",,,,,,,,,,4,,,,,923999939595541,,,0,,,
232,1296886809714650,"MJHS Health System, MJHS Health System",,,,,,,,,,4,,,,,943189738216572,,,0,,,
233,1298442639123920,"Visiting Neighbors",,,,,,,,,,4,,,,,1283877760992968,1218728178643114,1211523035276152,0,,,
234,1299053507788813,"New York Foundation For Senior Citizens",,,,,,,,,,4,,,,,"1013782748708059,1078136644723933",,,0,,,
235,1304558048970027,"Presbyterian Senior Services",,,,,,,,,,4,,,,,1183723038408337,,,0,,,
236,1312050182905151,"My Second Home",,,,,,,,,,4,,,,,775129095879874,,,0,,,
237,1292751234257112,UnitedHebrew,,,,,,,,,,4,,,,,"782267624918280,853792809831330",,,0,,,
238,1299477450227528,"Union Settlement",,,,,,,,,,4,,,,,"872321036841122,1093514835093035","898842574081173,884751042759569","877157950664285,826388597666813",0,,,
239,1311274178917071,"Visiting Nurse Services New York",,,,,,,,,,4,,,,,939872204189528,"1194647666288235,1272040877370789",,0,,,
240,1316318060699368,"Lenox Hill Hospital",,,,,,,,,,4,,,,,1327603866686607,1187435639779273,657361025169638,0,,,
241,1320241290206172,"Puppies Behind Bars",,,,,,,,,,4,,,,,577119440814762,1307508907633677,,0,,,
242,1273153354756247,"Hamilton Senior Center",,,,,,,,,,4,,,,,1336043764520811,1239814947010570,1187778800902833,0,,,
243,1275566162794288,"Metropolitan Museum of Art",,,,,,,,,,4,,,,,"962264766401803,814314701238234","1282117879952079,1148592964811433",,0,,,
244,1295012969068938,"U.S. Department of Veterans Affairs",,,,,,,,,,4,,,,,"1102354014602661,972456099283146",,575196641931899,0,,,
245,1331595394417841,"Lewy Body Dementia Association",,,,,,,,,,4,,,,,1249500327678308,,,0,,,
246,1285007907849469,"Area Agency on Aging NJ",,,,,,,,,,4,,,,,972931787567383,,808841261990530,0,,,
247,1293251363005201,"Visiting Nurse Services of NY",,,,,,,,,,4,,,,,"1271204612274121,1275378296799320","1194647666288235,1272040877370789","1242042751047449,1003476291614985",0,,,
248,1303487432314987,"Mobilization For Justice",,,,,,,,,,4,,,,,"1109362982511146,1130400742595772",1098802239046056,"731499650370942,991296539851115,1217859763170475",0,,,
249,1308744014948525,"United Jewish Council of the East Side",,,,,,,,,,4,,,,,"589265063758770,708105628538848","711348531869838,884793010254084","888854290272678,1157439885702996",0,,,
250,1316338228202900,"The Village of Pleasantville Senior Programs and Services",,,,,,,,,,4,,,,,885401816965082,,,0,,,
251,1335191036780946,"Marlene Meyerson JCC Manhattan, The Jewish Board",,,,,,,,,,4,,,,,912087287310872,,,0,,,
252,1352629276802338,"Amsterdam Nursing Home",,,,,,,,,,4,,,,,1241027936084868,,1147679058222084,0,,,
