"service_recordid","service_name","service_alternate_name","service_organization","service_description","service_locations","service_url","service_email","service_status","access_requirement","service_taxonomy","service_application_process","service_wait_time","service_fees","service_accreditations","service_licenses","service_phones","service_schedule","service_contacts","service_details","service_address","service_metadata","service_program","service_code","SDOH_code","code_category_ids","procedure_grouping","service_tag","service_airs_taxonomy_x","flag","bookmark","service_language","service_interpretation","eligibility_description","minimum_age","maximum_age","service_alert"
"826724564530855","Caregiver Support","Kensington Clubs","558598955804152","The Kensington Club provides a great place for older adults with early stage memory loss to find camaraderie and coping skills. It also offers respite to caregivers, who know that when their loved one is at Kensington Club, they will have a much needed break. Caregiver support is also available through Early Stage Dementia Education and Support Groups. With training from the Alzheimer’s Association, facilitators lead a unique model of information and support to individuals with a diagnosis and their care partners. With a goal of enhancing the lives of individuals with dementia and their families, the eight-week sessions cover topics such as understanding the disease and how to find community resources. Each week, education is provided for the whole group, followed by separate support groups for care partners and those with a diagnosis.","1210032943864131,1318371479368083,1178988249328078","https://accessjca.org/kensington-clubs/","","1","none","893915418546777","For information or to schedule a visit, please call.","","","","","<a href=""tel:(202) 735-3464"">(202) 735-3464</a>","","","","1124243316484766,665890077989539,633831411141650","","","","","","","","","","","","","","","",""
"828103015767690","UPO Workforce Institute","","1235669446637932","Whether you seek a new job or new skills, our training and placement services prepare you for the journey to opportunity, success and the future you deserve! We offer courses in the following roles: - Building maintenance technician - Electrical technician - Commercial driver - Emergency medical technician (EMT) - Culinary arts professional - Hospitality and tourism industry service worker - Electrical installation professional - IT help desk and application support specialist - Child development associate Steady, reliable work is the key to having money in your pocket, food on the table, and a roof over your head. If you’re ready to get to work and aren’t afraid of learning something new, UPO’s Workforce Institute offers training for some of DC’s most in-demand vocational careers. We also help you search for jobs, nail your interview, and find and keep the job that’s right for you. And we provide each and every student with one-on-one case management services to keep you focused, moving forward, and ready for better days ahead.","683981038233399,1288442867873978","https://www.upo.org/workforce-institute/","wfitraining@upo.org","1","none","832122112723102,976566727118378","Call to find out about enrolling in one of our courses.","","","","","<a href=""tel:(202) 231-7933"">(202) 231-7933</a>","1278111949794095,626485661504805,1132485145162044","","","1100921455050231,782663284558293","","","","","","","","","","","","","","","",""
"824403148838289","C.R.E.A.T.E.","Children Reaching Educational Achievements Through Enrichment","1235669446637932","When children are supported, motivated, and celebrated, there’s no end to what they can accomplish! That’s why it’s so important to keep them occupied and educated after school, over the summer, and whenever else they need attention and encouragement. UPO’s Children Reaching Educational Achievements Through Enrichment (C.R.E.A.T.E.) program provides a safe, secure place for children to interact with their friends as they learn new things, eat healthy snacks, and think differently.","683981038233399,1288442867873978","https://www.upo.org/youth-services/","","1","none","976566727118378","Please call to enroll.","","","","","<a href=""tel:(202) 610-2796"">(202) 610-2796</a>","1278111949794095,626485661504805,1132485145162044","1342972404043177","","1100921455050231,782663284558293","","","","","","","","","","","","","","","",""
"831230865396411","Housing and Community Justice Project","","1077851308935499","The Housing and Community Justice Project was established in the Fall of 2008, and is directed by an APALRC staff attorney. The project combines community education, advocacy, community organizing and direct legal representation of low income and limited English proficient Asian tenants to protect their rights to safe, affordable homes in neighborhoods in which they want to live. In addition, the project engages communities with a long-term community lawyering strategy, trusting that no one knows its priorities better than the community itself. The project provides corporate and transactional legal services to groups of affected community members, helping tenants to organize and run tenant organizations and the groups that work together to address problems and build community together.","977080631663121","https://www.apalrc.org/housing-and-community-justice-project/","helpline@apalrc.org","1","none","841905613386238,1305774265925553,1321490465403348","Call for services","","","","","<a href=""tel:(202) 706-7150"">(202) 706-7150</a>","869976109994289","","","877073319079269","","","","","","","","","","","","","","","",""
"833463361083754","Urgent Care Clinic","","643509042901798","Our Urgent Care Clinic (UCC) at the DC Superior Court serves individuals in the criminal justice system who are in need of immediate mental health and/or substance abuse services. Individuals served by UCC can be referred by a judge, pretrial officer, probation officer or an attorney. This partnership between Pathways to Housing DC, the DC Department of Behavioral Health, DC Addiction Prevention and Recovery Administration and DC Superior Court allows for immediate access to support services and establishes linkages to long-term providers to ensure effective treatment alternatives, prevent repeat offenders, and ultimately, help our clients recover. UCC is one of the first of its kind in the country to provide immediate substance abuse and short-term mental health treatment services to arrestees (many of whom are homeless).","940988880402930","https://pathwaystohousingdc.org/what-we-do/urgent-care-clinic/","","1","none","1276982655382389,629380122005095","Individuals served by UCC can be referred by a judge, pretrial officer, probation officer or an attorney. This partnership between Pathways to Housing DC, the DC Department of Behavioral Health, DC Addiction Prevention and Recovery Administration and DC Superior Court allows for immediate access to support services and establishes linkages to long-term providers to ensure effective treatment alternatives, prevent repeat offenders, and ultimately, help our clients recover.","","","","","<a href=""tel:(202) 529-2972"">(202) 529-2972</a>","1005608634460893","","","1224004543230409","","","","","","","","","","","","","","","",""
"834464881233325","Weatherization Assistance Program (WAP)","","698337947812895","The Weatherization Assistance Program (WAP), funded by the U.S. Department of Energy and Department of Health and Human Services, provides low-income residents technical and financial assistance to help reduce their energy bills by making their homes more energy-efficient. WAP performs energy audits and installs audit-recommended energy efficiency measures to help families maintain energy-efficient, safe, and healthy homes. In the District, WAP is administered through selected Community-Based Organizations and non-profits that hire local contractors to install the energy efficiency measures recommended by the energy audit. Typical weatherization measures may include insulation, duct sealing, heating, and cooling systems repairs or replacement, air infiltration mitigation, and installing ENERGY STAR lighting and appliances. In addition to installing weatherization measures, DOEE offers assistance to single-family homeowners that have inoperable mechanical systems. Mechanical systems include central air conditioning units, heating systems, hot water tanks, and chimney liners. Please call (202) 299-3316 for program application instructions.","670763981366130","https://doee.dc.gov/service/weatherization-assistance-program-wap","LaWanda.Jones@dc.gov","1","none","832401246252623,824666532982332,1145222996317036","To apply, residents must email LaWanda.Jones@dc.gov a copy of their subcontractor estimate on letterhead stating their current mechanical system(s) and/or window air conditioning unit is inoperable. Once Mrs. Jones receives the estimate, the applicant will be directed to apply for energy assistance online.","","","","","<a href=""tel:(202) 535-2600"">(202) 535-2600</a>","","","","734058533341446","","","","","","","","","","","","","","","",""
"835196230590039","Citizenship Classes","","930037496704241","CARECEN offers quarterly 12-week citizenship classes to prepare eligible individuals for the naturalization exam. The classes cover the knowledge of history and government necessary to answer the 100 civics questions on the exam. Class activities include a trip to the National Archives, the American History Museum, the Capitol or other DC landmarks. At the culmination of the 12 week period, the students are evaluated through a mock citizenship interview. Classes are offered Tuesdays, 6-8 PM and Saturdays, 10 AM-12 PM, or 2:30-4:30 PM.","653251900948938","http://carecendc.org/direct-services/citizenship/","info@carecendc.org","1","none","841905613386238,885604845315230,1220495166628256","Bring $50 and your green card to register.","","","","","<a href=""tel:(202) 328-9799"">(202) 328-9799</a>","","","","971053510687489","","","","","","","","","","","","","","","",""
"837604202154040","Independent Living Services","","923928818796358","The Rehabilitation Services Administration (RSA) Independent Living Services (ILS) program provides services to individuals with disabilities to help them to live as independently as possibly in the community. RSA partners with the DC Center for Independent Living and other private agencies in the community to provide the following four core independent living services: Advocacy Independent Living Skills Training Information and Referral Peer Support Eligibility All individuals in the District of Columbia with a significant disability are eligible for independent living services. Any individual may seek information about Iindependent living services under this program and request referral to other services and programs for individual with significant disabilities, as appropriate.","1160077532191340,1218401963055584","https://dds.dc.gov/page/independent-living-services","","","none","1305774265925553,581353506116751,1141891580359737,1129144548042060","Must contact the DC Center for Independent Living to establish eligibility and apply for services.","","","","","<a href=""tel:(202) 388-0033"">(202) 388-0033</a>&nbsp;(Voice)","1338861885601644,1338861885601645,1338861885601646,1338861885601647,1338861885601648,1338861885601649,1338861885601650,1338861885601683","","","1107370925309577","","","","","","","","","","","","","","","",""
"778121485505827","Pediatrics - Elaine Ellis Center of Health","","802638496440415","• Wellness Visits • Sick Visits • Immunizations • Flu Shots • Physicals","1020706673677182,1114551742239605","http://eechealth.com/our-services/","","","none","","Call for patient intake. If you are already a patient, call to set up an appointment.","","","","","<a href=""tel:(202) 803-2340"">(202) 803-2340</a>&nbsp;(Fax)","1338861885601146,1338861885601147,1338861885601148,1338861885601149,1338861885601150,1338861885601151,1338861885601152","","","1084485258726986,1181534981962548","","","","","","","","","","","","","","","",""
"785748915877787","""GRACE AND MERCY HEALTH SERVICES, INC""","","651560814879498","Provides the following services: RW Behavior Support BSP Development & Follow-Up , RW Behavior Support Diagnostic Assessment, RW In-Home Supports, RW Respite Daily (out of the home), RW Respite Hourly (in the home)","1216896137119914","http://dds.dc.gov/service/how-apply-services","test@gmail.com","1","yes","1305774265925553,1134365017275504","","","fee desc","","","","1338861885603697,1338861885603698,1338861885603699,1338861885603700,1338861885603701,1338861885603702,1338861885603703","","594068698094076,581080256512763,616318277327647,594068698094076,581080256512763,616318277327647","750305071337867","","1317645687310899,603957923828203","","","15","","3,6","","","","1,9365","Interpretation Services","eli desc","10","25","service alert"
"785169150627540","Assertive Community Treatment (ACT) - Community Connections","ACT","951819432538468","The Assertive Community Treatment (ACT) teams provide comprehensive, community-based, psychiatric treatment, rehabilitation, and support to persons with serious and persistent mental illness. ACT clients often have co-occurring problems with addiction, homelessness, criminal justice involvement, physical illness, and violent victimization. ACT teams embrace the nationally established Evidence Based Practice Model for ACT and achieve a high level of fidelity to the model. Teams are composed of a psychiatrist, nurse, licensed team supervisor, a peer support specialist, and rehabilitation support staff. Staff may develop sub-specialties in group services, substance abuse treatment, forensic services, parenting interventions, and vocational rehabilitation. ACT teams have small caseloads and work as a tight knit interdisciplinary unit to create opportunities for growth and recovery. Community Connections currently offers two specialty ACT models: TACT (Transitional Age Community Treatment) serving individuals ages 18-29 and two FACT (Forensic Assertive Community Treatment) teams which specialize in working closely with the courts, mental health court, CSOSA, and other other criminal justice systems. The ACT program offers both individual and group services.","1190992226347185","http://www.communityconnectionsdc.org/our-services/behavioral-health","","2","yes","893915418546777,935458216016910,1351267360227161,879394671891223,950554442307560,1139839930624727,1238748896910244,820647015810178,1222064688064866,1212005456553071,1296225794307299,833374944686291,1165502705771556,1276982655382389,876072370037480","","","","CARF","","<a href=""tel:(202) 546-1512"">(202) 546-1512</a>","1338861885602437,1338861885602438,1338861885602439,1338861885602440,1338861885602441,1338861885602442,1338861885602443,1338861885602541","","1219556704527549,1273909355690893","747206662074907","","1317645687310883,1317645687310884","","","","","","","","","","","","","",""
"790000784900182","Senior Saints","","1193385899950220","At the age of 99, Mother Wila Hudgen is an active glowing example of God’s grace and mercy. Our senior saints meet monthly to discuss issues and share information that impact the elderly. They sponsor several outings during the calendar year including shopping trips and live stage performances.","840683017480302","http://thefirstbaptistchurchofdeanwood.org/Deanwood/Ministries.html","","1","none","893915418546777,819562758416858","Call or visit us during our church services.","","","","","<a href=""tel:(202) 396-0534"">(202) 396-0534</a>","","","","1076830583018477","","","","","","","","","","","","","","","",""
"798441899320042","Comprehensive Medical Care for Deaf Adults and Children (CODA)","","1284952943863665","Unity understands that having a health care provider that can communicate to you in your language helps to make a medical appointment less stressful. That is why Unity offers CODA, a clinic specializing in deaf patient care with a provider fluent in ASL at Upper Cardozo Health Center on the 1st Friday of each month from 8:30 AM - 12:00 PM.","780622753430249","https://www.unityhealthcare.org/services","","1","none","893915418546777","Call for more information.","","","","","<a href=""tel:(202) 469-4699"">(202) 469-4699</a>","","","","600813147654170","","","","","","","","","","","","","","","",""
"808149675507884","Thrive East of the River Partnership","","876886021673283,1206510419155059,1012774856380370","The Thrive East of the River partnership is a collaboration between Martha’s Table, Bread for the City, 11th Street Bridge Park, and Far Southeast Family Strengthening Collaborative, designed to address immediate economic instability posed by COVID-19 to DC’s Ward 8 residents with the goal of supporting a total of 500 families. Kicking off with the first 100 families on June 15. Participants will receive, five months of support including weekly groceries, dry goods, and $1,100 monthly financial assistance along with assigned navigators helping families access unemployment insurance, tax credits, and other available benefits. How are “Thrive” families selected? Martha’s Table will identify families who are enrolled in Education and Family Visiting programs. Families will be considered based on their income, the ward they live in, and if they are currently employed. • First 25 families: Families enrolled in Martha’s Table’s Education programs or non-MT families who earn an income of approximately $15,000 and below annually. • Next 50 families: Families enrolled in Martha’s Table’s Education programs or non-MT families who earn an income of approximately $25,000 and below annually. • Final 50 families: Will be those enrolled in Martha’s Table’s Education programs or non-MT families who earn an income of approximately $35,000 and below annually.","636848661261240","https://marthastable.org/thrive-east-of-the-river-partnership/","twatson@marthastable.org","1","none","630013980013392,899387596744807,1211420433536032,764797459068982","Contact Teres’a Watson Family Services Coordinator, Martha’s Table twatson@marthastable.org","","","","","<a href=""tel:(202) 328-6608"">(202) 328-6608</a>","","1129033522836129","","697965079239989","","","","","","","","","","","","","","","",""
"813818370182701","IZ Household Certification for Developers","","1142792103155243","MHCDO is an authorized, Certifying Entity, approved by District of Columbia Department of Housing and Community Development (DHCD) to conduct: Certification of Income Affordability and Housing Size Declaration of Eligibility for the District of Columbia’s Inclusionary Zoning Program. MHCDO provides consulting services to conduct the mandated process certifying of prospective IZ tenants for property owners, property managers, and developers.","1120606829940602","https://mhcdo.org/iz-developer-services","housing@mhcdo.org","","none","841905613386238,1305774265925553","For further information about how MHCDO’s IZ Certification services, please contact us by emailing housing@mhcdo.org or calling 202-396-1200.","","","","","<a href=""tel:(202) 396-1200"">(202) 396-1200</a>","1169394852198293","","","1255270432383739","","","","","","","","","","","","","","","",""
"811588311148333","Youth Academy","","901970914472025","The Future Leaders Academy at YMCA Anthony Bowen & YMCA Alexandria With so many demands on today’s families and the urgency of early brain development, kids need all the support they can get. We are proud to introduce the Future Leaders Academy at YMCA Anthony Bowen, a new preschool enrichment program that will inspire your child’s love for learning, social and emotional development, character and creativity. The Academy is a place where kids ages 2 to 5 years learn early on how they can make a sincere contribution to the world around them. It is designed to help your child grow through STEAM (Science, Technology, Engineering, Arts & Mathematics) and healthy living, a safe and nurturing environment, socially-conscious values, and positive social skills. Every activity and interaction instills the Y’s core belief that all children have great potential, and deserve the opportunity to discover it. Our inspiring team is committed to not only teach these values and beliefs but serve as role models.","991654914903385,716573413368445","https://www.ymcadc.org/programs/child-care/youth-academy/","","1","none","1228385258535588,976566727118378,940079755845898","Space is limited, so call 1-800-473-9622 to schedule a tour, request more info or register.","","","","","<a href=""tel:1 (800) 473-9622"">1 (800) 473-9622</a>","","","","736104421703506,1310277015717903","","","","","","","","","","","","","","","",""
"823287765002075","Early Head Start","","1235669446637932","The Office of Early Learning provides direct center-based services to Early Head Start children and families. We focus on the first 1,000 days of a child’s life — from birth through age 2. We are passionate about helping children learn and develop fundamental skills, which promotes families’ well-being. All of our children are screened within the first 45 days of entry for health and developmental delays. (Approximately 10% of the children served are diagnosed with disabilities.) We embrace all populations and develop strategies to address the needs of children and families who deal with disabilities, homelessness, and foster care, as well as different languages and diverse cultural backgrounds. Our classrooms have a special focus on comprehensive services including health, nutrition, and mental wellness. Our Early Head Start program gives infants and toddlers the tools to develop their social-emotional, physical, cognitive, and language skills — steering them in the direction of happiness and success. UPO operates 13 Early Learning Centers throughout DC. (We also arrange for home visits.) In addition to our program, we offer partnerships with Spanish Education Development (SED) Center and Christian Tabernacle Child Development Center (CTCDC).","683981038233399,1288442867873978","https://www.upo.org/earlyeducation/","","1","none","976566727118378,1091485627676359,713360107412317","Call to enroll and visit our website to find which of our 13 learning centers is nearest to you.","","","","","<a href=""tel:(202) 238-4733"">(202) 238-4733</a>","1278111949794095,626485661504805,1132485145162044","913685472046228","","1100921455050231,782663284558293","","","","","","","","","","","","","","","",""
"826183970673949","Financial Assistance","Labor of Love Human Service Center","1321593994370513","Based upon a client intake process, persons may be eligible to receive assistance with rent/mortgage, utilities, and other emergency care needs.","","https://www.communityoutreachcdc.org/labor-of-love","","1","none","899387596744807","Call or walk in.","","","","","<a href=""tel:(301) 735-0121"">(301) 735-0121</a>","","","","","","","","","","","","","","","","","","","",""
"827054024656401","Healthy Families - United Community","","808240584407061","United Community's Healthy Families (HF) program is an intensive, evidence-based home visiting program that successfully prevents child abuse and neglect in high-risk families. Parents receive home-based parenting education, health information, community support and school readiness from pregnancy until the child reaches age three. Families who graduate from the HF program have healthier children and better parent-child interactions. Less than 1% of these families are found to later abuse their child. The program has four goals: 1. Promote positive parenting 2. Improve child health and development 3. Promote school readiness 4. Prevent child abuse and neglect Healthy Families provides two main types of services: Family Assessment and Home Visits. A Family Resource Specialist conducts an initial Family Assessment based on the Kempe Family Stress Checklist to determine eligibility for the program as well as need for other services within the community. Depending on indicated need, the Resource Specialist provides parents with referrals to community resources. If admitted into the program, Family Support Workers provide regular Home Visits to at-risk families beginning during pregnancy and until child reaches the age of three years. Home Visiting Services: ​Family Goal Planning: families develop family goal plans, which are updated regularly according to family needs. Parenting Education: Parents learn about positive family interaction from the Parents as Teachers curriculum, which is activity-based and builds upon parents’ growing knowledge of child development. Health Education: Parents get information on healthcare, family planning, immunizations, and other resources. Developmental Screenings: Children receive regular developmental screenings and are referred to early intervention if delays are discovered. School Readiness Activities: Children gain early literacy through literacy-based playgroups and activities. Depending on funding, children receive new books through partnerships with programs like The Reading Connection and Reading Is Fundamental​. Referrals: Families are referred to other community resources as needed.","1245305987898697","http://www.ucmagency.org/healthy-families-fairfax.html","","1","none","1276982655382389,893915418546777,976566727118378,982549491856586,1118011435663674,940079755845898","Call for more information about joining the program.","","","","","<a href=""tel:(703) 768-7106"">(703) 768-7106</a>","1288229674069325,917334837513553,1092647832650486,1250568651405156,634711490856800,1301758325765281","","","629637985917430","","","","","","","","","","","","","","","",""
"831023871673011","Free Smoke Alarms (A’sia Sutton Program)","","1091742936273498","The A’sia Sutton Smoke Alarm Giveaway and Installation Program is a DC Fire and EMS Department District-wide initiative to ensure that all District of Columbia homes have working smoke alarms. We are convinced that working smoke alarms are the single most important appliance in the home because they have been proven to save lives. Statistics shows that most fire fatalities occur in homes where either no smoke alarms were present or those that were present, did not operate properly. Statistics show that working smoke alarms in homes can substantially reduce the risk of fire death in residential fires. The requirements for receiving a smoke alarm are: You must live in the District of Columbia and show proof of residency. You must be a homeowner and living in that home (not rental property). The Department will install Smoke Alarm. It is the policy of DC Fire and EMS to NOT install a smoke alarm in a multi-family dwelling (apartment or condo). These properties need to have hard-wired smoke alarms. This is the responsibility of the landlord.","","https://fems.dc.gov/service/free-smoke-alarms","","1","none","1145222996317036","Smoke alarms may be requested by submitting a service request online (or by calling (202) 673-3331). Use the plus sign to search for and complete a Smoke Alarm Request form or make any other Fire and EMS service request. The Office of the Fire Marshal/Fire Prevention Division will contact eligible residents within 14 days of initial request to schedule the installation of the smoke detector. For questions or concerns, call (202) 673-3331.","","","","","<a href=""tel:(202) 673-3331"">(202) 673-3331</a>","","","","","","","","","","","","","","","","","","","",""
"836888666804197","VETERANS AFFAIRS MEDICAL CENTER: WASHINGTON D. C.","","1263332778268621","The Washington D.C. Veterans Affairs Medical Center (D.C.VAMC) is among the most visible and dynamic facilities in the VA system. As a tertiary care facility, D.C.VAMC provides acute general and specialized services in medicine, surgery, neurology, psychiatry, dentistry and numerous other subspecialties. The Medical Center, part of the VA Capitol Health Care Network (VISN 5), offers long-term care treatment in the 120-bed Comprehensive Nursing and Rehabilitation Center (CNRC). It operates four Community Based Outpatient Clinics (CBOCs) and is a Veterans Health Administration test site for enhancements in the electronic medical record. The Medical Center is affiliated with three outstanding medical schools and is a medical readiness partner with three Department of Defense medical facilities. The D.C.VAMC supports hundreds of active research projects and is home to one of two VA War Related Illness and Injury Study Centers (WRIISC).","982525680938497","http://va.gov/directory/guide/facility.asp?id=143","","","none","","","","","","","","","","","907362716425449","","","","","","","","","","","","","","","",""
"837150649376459","Classes and Groups","","928333992201735","Mamatoto Village provides a variety of classes that can assist you in almost every aspect of the pregnancy, childbirth and parenting. Sharing information in small class settings, our instructors are certified, knowledgeable and experienced. More than just a useful source of evidence based information, Mamatoto Village Childbirth Classes provide a source of preparation, learning, relaxation, discovery and support.","1153279049261324","https://www.mamatotovillage.org/classes.html","","1","none","893915418546777,1118011435663674,1138294006521405","View the calendar on the website. Register online or drop in for drop-in designated groups.","","","","","<a href=""tel:(202) 248-3434"">(202) 248-3434</a>","1321496808052770,654621153104425","","","1274484805326305","","","","","","","","","","","","","","","",""
"833348686999567","Vocational Training","","818433220295218","CASA partners with local community colleges such as Prince George’s Community College and Montgomery College to offer a range of vocational training courses. Current topics include: electrical, building maintenance, drywall installation and painting, computer repair, cabinetry, HVAC installation and repair, blueprint reading, power tool usage, sewing and dress-making, child development, security, solar paneling, and hospitality. Vocational training graduates receive industry-recognized certification from the community college and CASA, and CASA conducts follow-up to track improvement in employment status or income.","1078875042301972","https://wearecasa.org/programs/vocational-training/","jnino@wearecasa.org","1","none","832122112723102","For more information about upcoming courses and to apply contact: Jacinta Nino jnino@wearecasa.org or 240.491.5775/301.356.03278","","","","","<a href=""tel:(240) 491-5763"">(240) 491-5763</a>","809271860001006","643142504250845","","1271364189985979","","","","","","","","","","","","","","","",""
"786777987046972","Showers and Toiletries","","918523571271755","SOME’s shower facilities are available for use every day of the year. Toiletries and towels will be provided. We offer standard morning blocks for men and women. Transgender persons, those with medical referrals, people with disabilities, and other authorized emergencies can shower by appointment in the afternoons.","1142163554566402","https://www.some.org/services/basic-needs","","1","none","893915418546777","Contact: Visit the front desk at 71 O Street, NW or call 202.797.8806","","","","","<a href=""tel:(202) 797-8806"">(202) 797-8806</a>","","","","843557435036966","","","","","","","","","","","","","","","",""
"788820780825349","Adams Place Day Center","","1102284383103447","The Day Center addresses the long-standing need in the community of having a safe and dignified place for individuals experiencing homelessness to go during the day to take care of everyday needs and access long-term services and supports. The Day Center provides access to: Housing assessments Career planning Case management Lunch Shower and laundry facilities, and Other on-site services offered by partner agencies. The Center is located at 2210 Adams Place, NE, adjacent to the Adams Place Shelter and near the NY Avenue Shelter and is open from 7:00 a.m. to 7:00 p.m., Monday through Friday.","803919860966416","https://dhs.dc.gov/page/day-services-centers","","1","none","1305774265925553,893915418546777,625531295881156,629380122005095,915117964681420","Drop in","","","","","","","","","1170670104465846","","","","","","","","","","","","","","","",""
"792124806489460","Training and Technical Assistance (T & TA)","","824966357062743","DCRCC has provided community education within DC for more than two decades. This legacy is central to our culturally specific and participant focused model of training. Over the last five years, DCRCC has been evolving from a community education framework to one of capacity building. Through customized technical assistance responses, DCRCC provides diverse programming for child, youth and adult audiences both as short and long term initiatives. We commit to four guiding principles within our expanded approach, shared below. Training & Technical Assistance Principles: Content Breadth-we work to be relevant in our training by examining intersecting issues, diverse community needs, complex identities, structural oppression, plural histories and root causes of sexual violence. Experiential Learning-we incorporate the lived experiences and insights of individuals by building participant focused and led learning environments that appeal to diverse learning styles, knowledge levels and audience backgrounds. Practice and Application-we design interactive learning opportunities created to allow for exploration, curiosity, collaboration and creativity. We value depth of relationship and self-awareness as we promote compassionate and informed responses to survivors. Transferrable skills and understandings-we encourage participants to draw connections and think innovatively by drawing from multiple disciplines and knowledge sources in the creation and facilitation of training. In this way, we model our value of critical thinking and promote practical application and engaged learning. What We Do Provide a wide range of customized training and technical assistance to meet your specific needs. Develop competency –based professional development opportunities through on-site training sessions, consultations and program development. Plan professional development; train the trainers, closed workshop series, retreats and conferences that provide supportive, interactive learning opportunities to enhance the work of allied health professionals, schools and organizations.","1315539978603581","http://dcrcc.org/training-ta/","","1","none","841905613386238","Call for more information.","","","","","<a href=""tel:202-618-5088"">202-618-5088</a>","","990934796906011","","1273928223164382","","","","","","","","","","","","","","","",""
"809925333569605","Respiratory Therapy","","1151840654132771","Our speech-language therapists will use creative and fun ways to help your child with communication, mouth, or swallowing problems or to prevent them from happening.","569762980024499","https://hschealth.org/medical-programs-therapy/services-programs/full-list","","1","none","893915418546777,1091485627676359","Call for more information and to make an appointment.","","","","","<a href=""tel:(202) 832-4400"">(202) 832-4400</a>","","","","758202120336301","","","","","","","","","","","","","","","",""
"821743187538963","Comprehensive Homicide Elimination Strategies Task Force","","949759665008692","Our Executive Director has been appointed by the D.C. Mayor to co-chair the city’s Comprehensive Homicide Elimination Strategies Task Force. The Task Force will make recommendations to the City Council and the Mayor on strategies to reduce/eliminate homicide in the District of Columbia.","851341569805212,1270081732081180","https://www.wendtcenter.org/hopes-crime-victim-services/","","1","none","","To become a client, please call: 202.204.5021","","","","","<a href=""tel:(202) 204-5021"">(202) 204-5021</a>","840625194332248","","","921726586005599,1071169939843667","","","","","","","","","","","","","","","",""
"823996409566009","Behavioral Health Services","","1087443224313487","Individual Counseling Family Counseling and Training Community Support Crisis Intervention Diagnostic Assessments Psychological Evaluation Behavioral Aid Community Transition Medication Management Resource Coordinator","1013981933889035","http://innercityfamilyservices.com/","","","none","1276982655382389","Call for services or submit a referral on website.","","","","","<a href=""tel:(202) 525-4864"">(202) 525-4864</a>","","","","595922845737405","","","","","","","","","","","","","","","",""
"829979157869352","Transitional Living Program","","1222701888984669","The Transitional Living Program (TLP) provides supervised apartment living for older youth ages 18 to 24 whose family problems prevent them from living at home. Residents may be self-referred or referred through the DC Department of Human Services. TLP residents may live in SBY-managed apartments for up to12 months, receiving counseling and support services and learning life skills they need to live independently. TLP requires residents to be enrolled in school, work part-time, and save portions of their income. Some program residents also contribute to their rent. The TLPstaff provides counseling, life skills training, career guidance, job referrals and aftercare counseling to assist TLP graduates in living successfully on their own.","967529880147269","https://www.sashabruce.org/programs/safehomes/transitional-living-program-tlp/","mdaley@sashabruce.org","1","none","1305774265925553,893915418546777,910742652297512,969114221652955,629380122005095,1091485627676359,1054161113243743","Call or email to access this program.","","","","","<a href=""tel:(202) 675-9385"">(202) 675-9385</a>","635503777733530,1158254210885553,613757687605118","","","1327832724639079","","","","","","","","","","","","","","","",""
"827075234932235","UNIDOSUS: ADVOCACY AND EMPOWERMENT","","1259502496256180","UnidosUS, formerly known as, National Council of La Raza, seeks to ensure Hispanic American representation at all levels of government, to promote equitable participation of Latinos in public policy debates and programs, and to protect Hispanic civil rights.","1303501603402692","http://www.unidosus.org/","","","none","","","","","","","","","","","549781755675450","","","","","","","","","","","","","","","",""
"837949590108858","PEPCO - SOUTHEAST SERVICE CENTER","","756302075618471","Provides Pepco services.","655506922521028","http://www.ddoe.dc.gov","","","none","","","","","","","","","","","886350074237165","","","","","","","","","","","","","","","",""
"838439633965089","Richardson Youth Center","","1222701888984669","SBY’s Richardson Youth Center offers a myriad of activities including tutoring, workforce development training, violence prevention groups, and sexual health classes.","1261098666898898","https://www.sashabruce.org/programs/lifeskills/richardson/","lrichmond@sashabruce.org","1","none","832122112723102,1276982655382389,976566727118378,1091485627676359","Call, walk in, or email to access this program.","","","","","<a href=""tel:(202) 506-7264"">(202) 506-7264</a>","635503777733530","","","634628013094891","","","","","","","","","","","","","","","",""
"845610250708517","Project WISH Free Cancer Screenings","","1329764475795847","The District provides free breast and cervical cancer screening and diagnostic follow-up for eligible women through Project Women Into Staying Healthy (WISH). Project WISH also provides patient navigation, transportation assistance, and cancer education to all women enrolled in the project.","","https://dchealth.dc.gov/node/114122","","1","none","1276982655382389,893915418546777,806935508227949,1182573370009691,646077810643985","Call for more information.","","","","","<a href=""tel:(202) 442-5900"">(202) 442-5900</a>","","","","","","","","","","","","","","","","","","","",""
"844054055268446","Food Pantry - Lutheran Church of the Reformation","","1151822564676160","A food pantry for those in need.","1328529263083601","https://www.reformationdc.org/in-the-community","","1","none","630013980013392","Walk in during hours. You do not need an ID but it's helpful if you do. You will need to provide your name, address, and the number of people in your household. You can only visit the food pantry once every 60 days because we have limited amounts of food. We prefer that only DC residents visit because we are limited but we wont turn anyone away if they are in great need.","","","","","<a href=""tel:(202) 543-4200"">(202) 543-4200</a>","","","","1227805924003015","","","","","","","","","","","","","","","",""
