"SDOH Category","Resource","Resource Element","Code System","Code","Description","Grouping","Definition","Is Panel Code","Is Multiselect"
"Homelessness","ServiceRequest","ServiceRequest.code","CPT","96161","Administration of caregiver-focused health risk assessment instrument (eg, depression inventory) for the benefit of the patient, with scoring and documentation, per standardized instrument","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","711069006","Coordination of care plan (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464611000124102","Coordination of care team (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","462481000124102","Referral to Community Action Agency program (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","710824005","Assessment of health and social care needs (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464161000124109","Referral to community resource network program (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","308440001","Referral to social worker (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464311000124109","Education about Community Action Agency program (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464291000124105","Education about community resource network program (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464131000124100","Referral to community health worker (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464021000124104","Referral to care navigator (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464011000124107","Referral to care manager (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464001000124109","Referral to case manager (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","464301000124106","Education about benefits enrollment assistance program (procedure)","","","",""
"Homelessness","ServiceRequest","ServiceRequest.code","SNOMED CT US","462491000124104","Referral to benefits enrollment assistance program (procedure)","","","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","96777-8","Accountable health communities (AHC) health-related social needs screening (HRSN) tool","","Yes","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","71802-3","Housing status","","","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","93669-0","Are you homeless or worried that you might be in the future [WellRx]","","","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","93033-9","Are you worried about losing your housing [PRAPARE]","","","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","96447-8","WE CARE Survey [WE CARE] Caregiver","","Yes","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]","","Yes","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","93667-4","WellRx Questionnaire - revised","","Yes","",""
"Housing Instability","ObservationSR","Observation.code","LOINC","96441-1","At risk of becoming homeless Caregiver","","","",""
"Housing Instability","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Housing Instability","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Housing Instability","ObservationSR","Observation.value","LOINC","LA30122-8","I choose not to answer this question","","","",""
"Housing Instability","ObservationSR","Observation.value","LOINC","LA31993-1","I have a steady place to live","","","",""
"Housing Instability","ObservationSR","Observation.value","LOINC","LA31995-6","I do not have a steady place to live (I am temporarily staying with others, in a hotel, in a shelter, living outside on the street, on a beach, in a car, abandoned building, bus or train station, or in a park)","","","",""
"Housing Instability","ObservationSR","Observation.value","LOINC","LA31994-9","I have a place to live today, but I am worried about losing it in the future","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","CPT","96160","Administration of patient-focused health risk assessment instrument (eg, health hazard appraisal) with scoring and documentation, per standardized instrument","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","CPT","96161","Administration of caregiver-focused health risk assessment instrument (eg, depression inventory) for the benefit of the patient, with scoring and documentation, per standardized instrument","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","CPT","96156","Health behavior assessment or re-assessment (ie, health-focused clinical interview, behavioral observations, clinical decision making)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464021000124104","Referral to care navigator (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","711069006","Coordination of care plan (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","710824005","Assessment of health and social care needs (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464611000124102","Coordination of care team (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464311000124109","Education about Community Action Agency program (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464301000124106","Education about benefits enrollment assistance program (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464291000124105","Education about community resource network program (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","308440001","Referral to social worker (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464131000124100","Referral to community health worker (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464011000124107","Referral to care manager (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464001000124109","Referral to case manager (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","462491000124104","Referral to benefits enrollment assistance program (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","462481000124102","Referral to Community Action Agency program (procedure)","","","",""
"Housing Instability","ServiceRequest","ServiceRequest.code","SNOMED CT US","464161000124109","Referral to community resource network program (procedure)","","","",""
"Inadequate Housing","Condition","Condition.code","SNOMED CT US","105531004","Housing unsatisfactory (finding)","","","",""
"Inadequate Housing","Condition","Condition.code.coding","ICD-10-CM","Z59.1","Inadequate housing","","","",""
"Inadequate Housing","Goal","Goal.description","SNOMED CT US","161036002","Housing adequate (finding)","","","",""
"Inadequate Housing","Goal","Goal.description","SNOMED CT US","224250004","Satisfactory living conditions (finding)","","","",""
"Inadequate Housing","Goal","Goal.description","SNOMED CT US","185960001","Housing problem solved (finding)","","","",""
"Inadequate Housing","ObservationSR","Observation.code","LOINC","96778-6","Problems with place where you live","","","yes",""
"Inadequate Housing","ObservationSR","Observation.code","LOINC","96777-8","Accountable health communities (AHC) health-related social needs screening (HRSN) tool","","Yes","",""
"Inadequate Housing","ObservationSR","Observation.component.code","LOINC","96778-6","Problems with place where you live","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA31998-0","Lack of heat","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA32001-2","Water leaks","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA31997-2","Lead paint or pipes","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA32000-4","Smoke detectors missing or not working","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA28580-1","Mold","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA31999-8","Oven or stove not working","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA31996-4","Pests, such as bugs, ants, or mice","","","yes",""
"Inadequate Housing","ObservationSR","Observation.component.value","LOINC","LA9-3","None of the above","","","yes",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","CPT","96160","Administration of patient-focused health risk assessment instrument (eg, health hazard appraisal) with scoring and documentation, per standardized instrument","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","CPT","96156","Health behavior assessment or re-assessment (ie, health-focused clinical interview, behavioral observations, clinical decision making)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","CPT","96161","Administration of caregiver-focused health risk assessment instrument (eg, depression inventory) for the benefit of the patient, with scoring and documentation, per standardized instrument","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464131000124100","Referral to community health worker (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464611000124102","Coordination of care team (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464311000124109","Education about Community Action Agency program (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464001000124109","Referral to case manager (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464301000124106","Education about benefits enrollment assistance program (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","710824005","Assessment of health and social care needs (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464291000124105","Education about community resource network program (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464161000124109","Referral to community resource network program (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","49919000","Home safety education (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","711069006","Coordination of care plan (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","462491000124104","Referral to benefits enrollment assistance program (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464011000124107","Referral to care manager (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","308440001","Referral to social worker (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","464021000124104","Referral to care navigator (procedure)","","","",""
"Inadequate Housing","ServiceRequest","ServiceRequest.code","SNOMED CT US","462481000124102","Referral to Community Action Agency program (procedure)","","","",""
"Material Hardship","Condition","Condition.code","SNOMED CT US","5521000175101","Unable to afford blood pressure monitor (finding)","","","",""
"Material Hardship","Condition","Condition.code","SNOMED CT US","715046004","Unable to obtain medication (finding)","","","",""
"Material Hardship","Condition","Condition.code","SNOMED CT US","454061000124102","Unable to afford medication (finding)","","","",""
"Material Hardship","Condition","Condition.code","SNOMED CT US","5311000175103","Unable to afford visit copayment (finding)","","","",""
"Material Hardship","Condition","Condition.code","SNOMED CT US","5371000175108","Unable to afford glucose monitoring device (finding)","","","",""
"Material Hardship","Condition","Condition.code","SNOMED CT US","5731000175109","Unable to afford weight scale (finding)","","","",""
"Material Hardship","Condition","Condition.code.coding","ICD-10-CM","Z91.120","Patient's intentional underdosing of medication regimen due to financial hardship","","","",""
"Material Hardship","Goal","Goal.description","SNOMED CT US","715045000","Able to obtain medication (finding)","","","",""
"Material Hardship","ObservationSR","Observation.code","LOINC","93667-4","WellRx Questionnaire - revised","","Yes","",""
"Material Hardship","ObservationSR","Observation.code","LOINC","67089-3","You don't have enough money to buy the things you or your kids need [PhenX]","","","",""
"Material Hardship","ObservationSR","Observation.code","LOINC","62942-8","PhenX - chronic stress protocol 181301","","Yes","",""
"Material Hardship","ObservationSR","Observation.code","LOINC","93670-8","Do you have trouble paying for your gas or electricity bills [WellRx]","","","",""
"Material Hardship","ObservationSR","Observation.code","LOINC","93031-3","Have you or any family members you live with been unable to get any of the following when it was really needed in past 1 year [PRAPARE]","","","yes",""
"Material Hardship","ObservationSR","Observation.code","LOINC","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]","","Yes","",""
"Material Hardship","ObservationSR","Observation.component.code","LOINC","93031-3","Have you or any family members you live with been unable to get any of the following when it was really needed in past 1 year [PRAPARE]","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA46-8","Other (please write)","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA30125-1","Food","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA30129-3","Phone","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA30128-5","Medicine or any health care (medical, dental, mental health, vision)","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA30127-7","Childcare","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA30124-4","Utilities","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA30126-9","Clothing","","","yes",""
"Material Hardship","ObservationSR","Observation.component.value","LOINC","LA30122-8","I choose not to answer","","","yes",""
"Material Hardship","ObservationSR","Observation.value","LOINC","LA15368-6","Not true","","","",""
"Material Hardship","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Material Hardship","ObservationSR","Observation.value","LOINC","LA14993-2","Somewhat true","","","",""
"Material Hardship","ObservationSR","Observation.value","LOINC","LA15369-4","Very true","","","",""
"Material Hardship","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464011000124107","Referral to care manager (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","710824005","Assessment of health and social care needs (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464611000124102","Coordination of care team (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464311000124109","Education about Community Action Agency program (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464301000124106","Education about benefits enrollment assistance program (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464291000124105","Education about community resource network program (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464161000124109","Referral to community resource network program (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464021000124104","Referral to care navigator (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","308440001","Referral to social worker (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464001000124109","Referral to case manager (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","462491000124104","Referral to benefits enrollment assistance program (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","711069006","Coordination of care plan (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","462481000124102","Referral to Community Action Agency program (procedure)","","","",""
"Material Hardship","ServiceRequest","ServiceRequest.code","SNOMED CT US","464131000124100","Referral to community health worker (procedure)","","","",""
"Stress","Condition","Condition.code","SNOMED CT US","442347009","Emotional stress (finding)","","","",""
"Stress","Condition","Condition.code","SNOMED CT US","224974006","Feeling stressed (finding)","","","",""
"Stress","Condition","Condition.code","SNOMED CT US","73595000","Stress (finding)","","","",""
"Stress","Condition","Condition.code","SNOMED CT US","424582000","Stress overload (finding)","","","",""
"Stress","Condition","Condition.code.coding","ICD-10-CM","Z73.3","Stress, not elsewhere classified","","","",""
"Stress","ObservationSR","Observation.code","LOINC","66821-0","In the last month, how often have you been upset because of something that happened unexpectedly [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","66829-3","In the last month, how often have you been angered because of things that were outside of your control [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","91629-6","General Well-Being Schedule - 18 item [NHANES]","","Yes","",""
"Stress","ObservationSR","Observation.code","LOINC","76542-0","Do you feel stress - tense, restless, nervous, or anxious, or unable to sleep at night because your mind is troubled all the time - these days [OSQ]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","91633-8","Have you been under or felt you were under any strain, stress, or pressure during the past month [NHANES]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","64394-0","PhenX - perceived stress protocol 180801","","Yes","",""
"Stress","ObservationSR","Observation.code","LOINC","66826-9","In the last month, how often have you found that you could not cope with all the things that you had to do [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","93038-8","Stress level","","","",""
"Stress","ObservationSR","Observation.code","LOINC","97023-6","Accountable health communities (AHC) health-related social needs (HRSN) supplemental questions","","Yes","",""
"Stress","ObservationSR","Observation.code","LOINC","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]","","Yes","",""
"Stress","ObservationSR","Observation.code","LOINC","80216-5","Social, psychological and behavioral observations - 2015 Edition Health IT Certification Criteria set","","Yes","",""
"Stress","ObservationSR","Observation.code","LOINC","66830-1","In the last month, how often have you felt difficulties were piling up so high that you could not overcome them [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","66827-7","In the last month, how often have you been able to control irritations in your life [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","66828-5","In the last month, how often have you felt that you were on top of things [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","66822-8","In the last month, how often have you felt that you were unable to control the important things in your life [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","66825-1","In the last month, how often have you felt that things were going your way [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","68521-4","How much stress have you been experiencing in the past week, including today # [SAMHSA]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","95395-0","Do you often feel under extreme stress Caregiver [SEEK]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","68899-4","Core behavioral and psychosocial data elements for the electronic health record [SAMHSA]","","Yes","",""
"Stress","ObservationSR","Observation.code","LOINC","95403-2","Safe Environment for Every Kid parent questionnaire - revised [SEEK] Caregiver","","Yes","",""
"Stress","ObservationSR","Observation.code","LOINC","66824-4","In the last month, how often have you felt confident about your ability to handle your personal problems [PSS-10]","","","",""
"Stress","ObservationSR","Observation.code","LOINC","66823-6","In the last month, how often have you felt nervous and stressed [PSS-10]","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA30122-8","I choose not to answer this question","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA13914-9","Very much","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA29842-4","Yes -- some - more than usual","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA18936-7","0 - no stress","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA18937-5","10- extreme stress","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA10141-2","9","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA10140-4","8","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA10139-6","7","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA10138-8","6","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA10137-0","5","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA6115-5","4","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA6114-8","3","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA29840-8","Yes -- almost more than I could bear or stand","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA6112-2","1","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA22687-0","Only a little","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA29844-0","Yes - a little","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA29843-2","Yes -- some - but about usual","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA13863-8","A little bit","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA29841-6","Yes -- quite a bit of pressure","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA13909-9","Somewhat","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA22685-4","Rather much","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA22686-2","To some extent","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA6113-0","2","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA13902-4","Quite a bit","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA6568-5","Not at all","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA16644-9","Fairly often","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA10082-8","Sometimes","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA13866-1","Almost never","","","",""
"Stress","ObservationSR","Observation.value","LOINC","LA6270-8","Never","","","",""
"Transportation Insecurity","Condition","Condition.code","SNOMED CT US","160696009","Transport distance too great (finding)","","","",""
"Transportation Insecurity","Condition","Condition.code","SNOMED CT US","424629004","Transportation barrier impedes ability to use community resources (finding)","","","",""
"Transportation Insecurity","Condition","Condition.code","SNOMED CT US","713458007","Lack of access to transportation (finding)","","","",""
"Transportation Insecurity","Condition","Condition.code","SNOMED CT US","160695008","Transport too expensive (finding)","","","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","96777-8","Accountable health communities (AHC) health-related social needs screening (HRSN) tool","","Yes","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","89569-8","Access to transportation/mobility status [CUBS]","","","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","89556-5","Comprehensive Universal Behavior Health Screen [CUBS]","","Yes","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]","","Yes","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","93671-6","Do you have trouble finding or paying for transportation [WellRx]","","","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","92358-1","Current level of confidence I can use public transportation [PROMIS]","","","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","92392-0","PROMIS item bank - self-efficacy for managing daily activities - version 1.0","","Yes","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","93667-4","WellRx Questionnaire - revised","","Yes","",""
"Transportation Insecurity","ObservationSR","Observation.code","LOINC","93030-5","Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living","","","yes",""
"Transportation Insecurity","ObservationSR","Observation.component.code","LOINC","93030-5","Has lack of transportation kept you from medical appointments, meetings, work, or from getting things needed for daily living","","","yes",""
"Transportation Insecurity","ObservationSR","Observation.component.value","LOINC","LA30133-5","Yes, it has kept me from medical appointments or getting medications","","","yes",""
"Transportation Insecurity","ObservationSR","Observation.component.value","LOINC","LA30134-3","Yes, it has kept me from non-medical meetings, appointments, work, or getting things that I need","","","yes",""
"Transportation Insecurity","ObservationSR","Observation.component.value","LOINC","LA30122-8","I choose not to answer this question","","","yes",""
"Transportation Insecurity","ObservationSR","Observation.component.value","LOINC","LA32-8","No","","","yes",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA30027-9","I am somewhat confident","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA29231-0","My transportation is generally accessible to meet basic travel needs","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA29232-8","My transportation is available and reliable, but limited and/or inconvenient; drivers are licensed and minimally insured","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA29233-6","My transportation is available, but unreliable, unpredictable, unaffordable; may have car but no insurance, license, etc.","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA29234-4","I have no access to transportation, public or private; may have car that is inoperable","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA30024-6","I am not at all confident","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA30026-1","I am a little confident","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA30029-5","I am very confident","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA30028-7","I am quite confident","","","",""
"Transportation Insecurity","ObservationSR","Observation.value","LOINC","LA29230-2","My transportation is readily available, affordable, and car is adequately insured","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","CPT","96161","Administration of caregiver-focused health risk assessment instrument (eg, depression inventory) for the benefit of the patient, with scoring and documentation, per standardized instrument","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","CPT","96156","Health behavior assessment or re-assessment (ie, health-focused clinical interview, behavioral observations, clinical decision making)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","CPT","96160","Administration of patient-focused health risk assessment instrument (eg, health hazard appraisal) with scoring and documentation, per standardized instrument","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464301000124106","Education about benefits enrollment assistance program (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","711069006","Coordination of care plan (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","462481000124102","Referral to Community Action Agency program (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","710824005","Assessment of health and social care needs (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464611000124102","Coordination of care team (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464311000124109","Education about Community Action Agency program (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464291000124105","Education about community resource network program (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464161000124109","Referral to community resource network program (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464131000124100","Referral to community health worker (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464021000124104","Referral to care navigator (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464011000124107","Referral to care manager (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","462491000124104","Referral to benefits enrollment assistance program (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","308440001","Referral to social worker (procedure)","","","",""
"Transportation Insecurity","ServiceRequest","ServiceRequest.code","SNOMED CT US","464001000124109","Referral to case manager (procedure)","","","",""
"Veteran Status","Condition","Condition.code","SNOMED CT US","224355006","Served in armed forces (finding)","","","",""
"Veteran Status","Condition","Condition.code","SNOMED CT US","10987541000119104","History of military deployment (finding)","","","",""
"Veteran Status","Condition","Condition.code","SNOMED CT US","266964007","Left military service (finding)","","","",""
"Veteran Status","Condition","Condition.code","SNOMED CT US","419482003","Served in armed forces in combat (finding)","","","",""
"Veteran Status","Condition","Condition.code.coding","ICD-10-CM","Z91.82","Personal history of military deployment","","","",""
"Veteran Status","ObservationSR","Observation.code","LOINC","68899-4","Core behavioral and psychosocial data elements for the electronic health record [SAMHSA]","","Yes","",""
"Veteran Status","ObservationSR","Observation.code","LOINC","93034-7","Discharged from the U.S. Armed Forces","","","",""
"Veteran Status","ObservationSR","Observation.code","LOINC","93025-5","Protocol for Responding to and Assessing Patients' Assets, Risks, and Experiences [PRAPARE]","","Yes","",""
"Veteran Status","ObservationSR","Observation.code","LOINC","68507-3","Did you ever serve on active duty in the armed forces of the U.S. [SAMHSA]","","","",""
"Veteran Status","ObservationSR","Observation.value","LOINC","LA30122-8","I choose not to answer this question","","","",""
"Veteran Status","ObservationSR","Observation.value","LOINC","LA32-8","No","","","",""
"Veteran Status","ObservationSR","Observation.value","LOINC","LA33-6","Yes","","","",""
"Inadequate Housing","Procedure","Procedure.code","Unknown","N/A","Assessment for housing inadequacy","Assessment","Determination of a value, conclusion, or inference by evaluating evidence","",""
"Inadequate Housing","Procedure","Procedure.code","Gravity","IS-62","Assessment for housing insecurity","Assessment","Determination of a value, conclusion, or inference by evaluating evidence","",""
