id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status
110,"Edgewood/Brookland Family Support Collaborative",,"E/BFSC is one of five neighborhood-based Collaboratives in the District of Columbia, which make up the city-wide Healthy Families, Thriving Communities Collaborative network. E/BFSC has been in existence since 1996 when a partnership consisting of residents and neighborhood-based organizations received a planning grant from the D.C. Child and Family Services Agency (CFSA). The planning grant facilitated the development of a community-based collaborative effort to design and implement a neighborhood-based family support system. After a year of planning, E/BFSC opened its first Family Support Center in Brookland Manor in 1997 and began formally serving families. In 2011, E/BFSC expanded its geographic target area and now provides services to all communities in Ward 5 and Ward 6.
",,http://ebfsc.org/,,,,
111,"Community Connections",,"Community Connections provides comprehensive mental health services to children, youth, families and adults in the District of Columbia and Montgomery County, Maryland including individualized treatment planning, network resource development, community support services, in home and/or office based counseling, psycho-educational training and support and crisis services. They are also able to assist with applying for Section 8 Vouchers and accessing affordable housing. They accept DC Medicaid, AmeriHealth, Trusted Health and Medstar Family Choice.",,http://communityconnectionsdc.org,,,,
112,"Northern Virginia Family Services",,"A community organization providing numerous services to meet the needs of the community. These services range from shelter/housing, to food, to education, and health.",info@nvfs.org,https://www.nvfs.org/,,,,
113,"DC Public Library",,"The library provides environments that invite reading, learning and community discussion and equips people to learn all their lives, to embrace diversity and to build a thriving city. We are proud to be a recognized force in the community for engaging the mind, expanding opportunities and elevating the quality of life.",,http://dclibrary.org,,,,
114,"Neighbors’ Consejo",,"Neighbors&rsquo; Consejo provides culturally and linguistically competent healthcare, social, and support services for the most needy in our community &ndash; those underserved and uninsured. We strive to empower them to become self-sufficient and productive members of society.",,http://neighborsc.org,,,,
115,"Samaritan Ministry of Greater Washington",,"Every year, Samaritan Ministry of Greater Washington helps improve the lives of more than 1,000 people who are homeless or otherwise in need through our innovative Next Step Program. For over 30 years now, participants have been welcomed by our staff and volunteers into a safe, supportive environment that allows them the freedom to choose their own goals and pursue them! They are given the resources and support they need &mdash; housing and employment search guidance, coaching, referrals to partner service providers and more &mdash; to fulfill those goals. Participants are listened to, and treated like family.",,http://samaritanministry.org,,,,
116,"DC DEPARTMENT OF CONSUMER AND REGULATORY AFFAIRS (D.C.RA): BUILDING AND LAND REGULATION ADMINISTRATION",,"Regulates all building and land use within the District of Columbia to ensure safety and conformity to local and federal laws and regulations. Manages permit processing, building inspection, and zoning program; covering new construction, alterations and repairs.",,http://dcra.dc.gov/,,,,
117,"DC HOUSING AUTHORITY: CLIENT SERVICES CENTER",,"Responsible for application intake, waiting list management, and eligibility determination for Public Housing, the Housing Choice Voucher Tenant Based Program - HCVP (formerly known as the Section 8 program)",,http://dchousing.org,,,,
118,"Mayor’s Office of LGBTQ Affairs",,"The Mayor&rsquo;s Office of Lesbian, Gay, Bisexual, Transgender and Questioning Affairs (LGBTQ) is a permanent, cabinet-level office within the Office of Community Affairs in the Executive Office of the Mayor, established by statute in 2006 to address the important concerns of the District's gay, lesbian, bisexual and transgender residents. The District of Columbia has one of the highest concentrations of LGBTQ residents in the country with an estimated 7 to 10% of the population being LGBTQ.",,http://www.glbt.dc.gov,,,,
119,"Open Arms Housing",,"Open Arms Housing operates three programs through which we serve chronically homeless women. We run our two project-based single-site apartment buildings, the Dunbar, in the Truxton Circle neighborhood of Northwest, and Owen House, in the Trinidad neighborhood of Northeast, as well the newer initiative, a scattered-site PSHP. Open Arms Housing offers individual and group on-site services tailored to the unique needs of our clients.",info@openarmshousing.org,https://openarmshousing.org/,,,,
120,"DC SUPERIOR COURT: DOMESTIC VIOLENCE INTAKE CENTER",,"Provides assistance with cases that involve domestic violence. Advocates provide step by step instructions through the civil and criminal justice system and draft the petitions and affidavits for civil prosecution orders.",,http://www.dccourts.gov/services/domestic-violence-matters/intake-centers,,,,
121,"Wendt Center for Loss",,,,https://www.wendtcenter.org/,,,,
122,"Northwest Center",,"With both our maternity home and the pregnancy center programs, our mission is to support pregnant or parenting women in need, to act on our belief in the intrinsic value and dignity of all human life, and to provide for new beginnings for pregnant or parenting women. The Northwest Center believes that it is essential for every pregnant woman to have access to safe housing, food, clothing, medical care, and educational and/or job opportunities so that she can adequately provide for herself and her children. Our programs are designed to be more than a &ldquo;band-aid solution,&rdquo; rather we strive to effectuate real change in the lives of the women and children we serve. The ultimate goal of both programs is to enable our clients to achieve self-sufficiency, which we define as having sustainable employment, adequate health care and viable housing for themselves and their child(ren).",,http://www.pregnancyhelpdc.org/,,,,
123,"Loaves & Fishes",,"Provides free meals on the weekends to supplement the lack of meal programs provided by the city over the weekend.

You are welcome at Loaves and Fishes for lunch at noon every Saturday and Sunday at 1525 Newton St NW (lower level of St. Stephen & the Incarnation Episcopal Church). We also provide lunch on Federal Holidays.",,http://loavesandfishesdc.org/,,,,
124,"DC Office on Aging",,"Older Adult Service and Information System (OASIS) offers challenging programs in the arts, humanities, health, wellness, travel, and volunteer service. This national growth program creates opportunities for adults 55 years of age and older to continue their personal growth and meaningful service to the community. (202) 362-9600 Ext. 560.

SeniorWorks II is a structured internship program for District seniors seeking short-term volunteer opportunities and assignments working in public and private agencies, sponsored by the DC Office on Aging. Part-time volunteer internship assignments are generally limited to three months or less, with a small stipend provided to defray the intern/volunteer's travel and other workplace expenses. 

The Older Workers Employment and Training Program is funded with a grant from Department of Employment Services. The program provides employment and training opportunities for District residents 55 years of age and older. Services are provided under Title I of the Act, and emphasize the development of employment and training opportunities through job search assistance workshops, on-the-job training, job development, and placement and classroom skills training. The Office is an active one-stop partner in the District of Columbia Workforce initiative. 

The McMasters program sponsored in partnership with McDonalds' Corporation helps older workers adjust to the work-a-day world. Its goals are to build an individual's confidence, self-esteem, and provide a job opportunity that fits into his/her life style and personal schedule.",,www.dcoa.dc.gov,,,,
125,"COMMUNITY FAMILY LIFE SERVICES",,"Trinity Arms program offers housing up to two-years, with 13 individual units, offering a stable and supportive housing program. These spacious one, two and three-bedroom, private apartments are available to help families escape homelessness and enable each family group to work towards independence and self-sufficiency.",,http://www.cflsdc.org/housing-programs,,,,
126,"My Sister's Place",,"Provides assistance and social services referrals for families who are victims of domestic violence.",info@mysistersplacedc.org,http://mysistersplacedc.org/,,,,
127,"Wanda Alston House",,"The Wanda Alston Foundation opened its doors in 2008 as the only housing program in Washington, D.C,. solely dedicated to offering pre-independent transitional living and support services to homeless or at-risk LGBTQ youth ages 18 to 24 in all eight wards. ",info@wandaalstonfoundation.org,http://www.wandaalstonfoundation.org,,,,
128,"Ayuda edit","Alternate Name :","Ayuda provides legal, social, and language services to help vulnerable immigrants in our neighborhoods access justice and transform their lives. Since 1973, we have served more than 100,000 low-income immigrants throughout Washington DC, Maryland and Virginia. Ayuda&rsquo;s expert and dedicated professionals help immigrants from anywhere in the world navigate the immigration and justice systems and access the social safety net. This comprehensive and welcoming approach breaks down barriers, helps those in need, and makes our communities stronger.",,http://ayuda.com,,,,
129,"Paramount Baptist Church",,"A local church offering services to the community.",,https://www.paramountbaptistchurch.org/,,,,
130,"Far Southeast Family Strengthening Collaborative",,"The Far Southeast Family Strengthening Collaborative works to tackle some of our community's toughest issues, while building the capacity of residents and organizations to do the same. The mission of the Far Southeast Family Strengthening Collaborative is to act as a catalyst to develop, nurture and sustain partnerships of residents, agencies, and institutions in the Southeast community and to create a healthy socioeconomic environment through which every child and family has an opportunity to achieve their maximum potential and to lead a productive life.",,http://www.fsfsc.org/,,,,
131,"Nazarene Outpost Ministries",,"A local church providing various religious based services ranging from counseling, to bible classes, to food and clothing.",Info@NazareneOutpostMinistries.org,http://www.nazareneoutpostministries.org/,,,,
132,"New Endeavors by Women",NEW,"NEW is guided by a mission to partner with homeless women to create new futures. We provide a nurturing environment so that women can recognize their worth. NEW transforms lives, by providing housing, fostering the development of life skills, and promoting education and employment, to end the cycle of homelessness.",info@nebw.org,http://nebw.org/,,,,
133,"Thrive DC",,"Thrive DC works to prevent and end homelessness in Washington, DC by providing vulnerable people with a wide range of services to help stabilize their lives.

Founded in 1979 to serve dinner to homeless women, Thrive DC has grown to be a comprehensive, professionally staffed, bilingual organization serving more than 2,000 men, women, and children each year.

We are a safety net for people experiencing homelessness, unemployment, housing instability, and food insecurity. With our help, our clients take the first steps toward independence and self-sufficiency.

Thrive DC serves 200 &ndash; 250 homeless and vulnerable individuals every day who turn to us for critical support. Services range from twice daily meals and weekly emergency groceries, to assistance finding housing and support finding employment, to connections to legal aid and opportunities for health screenings, to intensive job training and access to computers, laundry and showers.",info@thrivedc.org,http://www.thrivedc.org/,,,,
134,"Mc Kendree United Methodist Church",,,,,,,,
135,"Covenant House Washington",,"For over 24 years, Covenant House Greater Washington (CHGW) has served as the region&rsquo;s leading non-profit throughout the area in protecting, supporting, and transforming the lives of youth ages 18-24 experiencing homelessness, disconnection, and exploitation. CHGW has provided a safe harbor and wrap-around supportive services to one of the area&rsquo;s most vulnerable populations. The programs and services offered to young people help them to get back on track in achieving housing, career, and economic stability. 

We create tailored solutions for each young person that goes beyond short-term housing and support. Our approach equips youth with the resources they need to overcome common obstacles and barriers. Aside from housing, youth receive workforce readiness, job/career placement, post-secondary support, case management, mental health support, drop-in services, child development center (for youth with children), and more.",,http://covenanthousedc.org,,,,
136,"Virginia Williams Family Resource Center (VWFRC)",,"The Virginia Williams Family Resource Center (VWFRC) is the central intake office for families requesting emergency housing and assistance in DC. Families in need complete a needs assessment with a VWFRC Intake Specialist and if deemed homeless are referred to available shelter locations or alternative shelter placements when available. Families are also assisted with other services including employment services and job training, substance abuse and mental health referrals, and legal support services. Wait times at the Center can sometimes be long, and the intake process is expected to take at least 2 hours, so families are encouraged to come when they can dedicate a full day to this process.",,https://dhs.dc.gov/sites/default/files/dc/sites/dhs/page_content/attachments/Homeless%20Services%20VWFRC-Family_NEW_5-31-19.pdf,,,,
137,"Washington Parks and People",,"Washington Parks & People, a 501 (c)(3) non-profit organization, is the capital&rsquo;s hub for activating public lands & waters for broad community revitalization &ndash; through partnership, innovation, discovery, and workforce development. Our mission is to grow city-wide park-based community health & vitality by nurturing innovation & partnerships.

We lead greening initiatives across the city &mdash; massive land reclamation, native reforestation, watershed restoration, public health and fitness programming, urban agriculture, and green job training &mdash; to help revitalize our parks and work for justice alongside our local communities.",,https://washingtonparks.net/,,,,
138,"Asian Pacific American Legal Resource Center",APALRC,"The mission of the APALRC is the advance the civil and legal rights of Asian Americans by focusing on providing linguistically accessible and culturally appropriate legal services to low-income Asian immigrants in Metro-DC who have limited English proficiency. The goal is to ensure that Asian Americans can access government services and the legal system to protect and enforce their right, and to seek full participation in American society. The APALRC seeks to accomplish this mission through a three-prong strategy that combines community legal education, individual representation, and systemic advocacy.",helpline@apalrc.org,http://www.apalrc.org/,,,,
139,"DC Department of Aging and Community Living (DACL)",,"Provides Intergenerational Programs services, including Opportunities for older adults to teach and learn from DC's youth.",dcoa@dc.gov,https://dacl.dc.gov,,,,
140,"Inner City Family Services",,"Community development organization providing a wide range of service toward positively impacting families and communities in Washington, DC. ICFS administers services via the latest and most effective family and community building tools in the field of social and community development. Our services work to develop and sustain healthy families and communities.",,http://innercityfamilyservices.com/,,,,
141,"DC Fire and Emergency Medical Services (FEMS) Department",,"The vision of the DC Fire and Emergency Medical Services Department is to be a performance based organization in which a well-trained, multi-disciplined skilled workforce utilizes state-of the art equipment, technology and apparatus to provide the highest quality of Fire and Emergency Medical Services. To our residents and visitors the DC Fire and EMS Department strives for excellence in emergency preparedness, education and response, to enhance our customer focused innovative initiatives as industry leaders, while overcoming expanding risks.",info.fems@dc.gov,https://fems.dc.gov,,,,
142,"DC Department of Human Services (DHS)",,"The mission of the D.C. Department of Human Services is to empower every District resident to reach their full potential by providing meaningful connections to work opportunities, economic assistance and supportive services.

The Economic Security Administration (ESA) determines eligibility for benefits under the Temporary Cash Assistance for Needy Families (TANF), Medical Assistance, Supplemental Nutrition Assistance Program (SNAP) (formerly Food Stamps), Child Care Subsidy, Burial Assistance, Interim Disability Assistance. ESA&rsquo;s Supplemental Nutrition Assistance Program Employment and Training Program (SNAP E&T) provide employment and training services to able-bodied adults without dependents who receive food stamps. ESA performs monitoring, quality control, and reporting functions required by federal law and court orders.",dhs@dc.gov,https://dhs.dc.gov/,,,,
143,"Mom's Meals",,"Offers meal delivery to a variety of qualifying clients including self-paying clients. ",,https://www.momsmeals.com/,,,,
144,"Salvation Army NW - National Capital Area Command",,"Harbor Light Transitional Housing Program:
Extended transitional housing (6-18 months) for 33 men & women experiencing homelessness and in recovery from substance abuse. To enroll, call the Harbor Light center at (202) 269-6333 and ask for the Intake department.",,www.salvationarmy.org,,,,
145,"DC Center for Independent Living",,"We are a private non-profit organization that assists DC residents with significant disabilities to live independently in their homes and in their communities.",,http://dccil.org,,,,
146,"Family and Medical Counseling Service, Inc.",,"The mission of FMCS is to employ state-of-the-art community-based approaches to providing comprehensive services that promote the emotional and physical health of families and individuals, regardless of income or social status. Offers a wide range of patient services. ",,https://www.fmcsinc.org/,,,,
147,"Urgent Wellness",,"Urgent Wellness launched as a social enterprise in December 2017 to directly address inequalities in health literacy, access, and utilization by redesigning health care. We are committed to diminishing health disparities among vulnerable populations by leveraging a service delivery model focused on increasing care access and health literacy through the use of CommunityHealth Outreach Workers (CHOWs) who facilitate at-home care in low income housing communities. The convenience and holistic support Urgent Wellness provides empowers individuals to overcome barriers preventing them from equitable health outcomes.",info@urgentwellness.com,https://urgentwellness.com/,,,,
148,"DC Housing Finance Agency (HFA)",,"Independent organization that is NOT part of the DC Government. According to their website, this group works with developers and homeowners. The Mayor used them to administer the MAP, the District's mortgage relief program. ",,http://www.dchfa.org/,,,,
149,"Manna Food Center",,"Manna Food Center&rsquo;s singular mission is to eliminate hunger in Montgomery County, Maryland. Through food distribution, education and advocacy, we are making strides on behalf of more than 63,000 county residents who experience hunger and food insecurity.",,https://www.mannafood.org/,,,,
150,"Washington Legal Clinic for the Homeless",,"The core of the Legal Clinic's work, through the Legal Assistance Project, is the representation of individual low- and no-income clients through a network of over 200 volunteer attorneys and legal assistants. Volunteers obtain clients on a referral basis or at one of 7 intake sites run by the Legal Clinic at meal programs, health clinics, and day programs throughout DC. Volunteer attorneys participating in the project represent people on issues including: public benefits (e.g., SSD, SSI, medical assistance, food stamps and TANF); shelter and housing (e.g. shelter placement, conditions and expulsions, public housing, Housing Choice Voucher Program eligibility and terminations, and housing condition disputes); street rights; and consumer debt/credit. Please contact the Legal Clinic's main line at (202) 328-5500 for the most up-to-date scheduling information.",,http://legalclinic.org,,,,
151,"Howard University Hospital (HUH)",,"The HUH CARES program provides comprehensive health services, including mental health counseling, to men, women, children and adolescents who are HIV positive. They serve clients who are uninsured or underinsured; clients must be DC residents.",,http://huhealthcare.com/healthcare/hospital,,,,
152,"Jewish Social Services Agency",JSSA,"JSSA is a nonsectarian, nonprofit client-focused health, and social service agency that helps individuals and families across the Greater Washington metropolitan area through a wide range of services including: counseling, educational, special needs services, in-home support, hospice and nursing care, and social services.",,https://www.jssa.org/,,,,
153,"Hillcrest Children & Family Center",,"Hillcrest Children and Family Center (Hillcrest Center) is a behavioral health care and social services agency that provides behavioral health treatment and prevention as well as community and family support services. We are a private non-profit organization founded in 1815 by First Lady Dolley Madison and chartered by an Act of Congress. Throughout its history, Hillcrest Center has offered primary prevention and mental health services to children and families. With a commitment to provide each client with the highest quality, cost effective, and timely service to meet their needs, we promote wellness and the well-being of our service population, staff, and the general community.",info@hillcrest-dc.org,http://hillcrest-dc.org/,,,,
154,"St. Philip the Evangelist Episcopal Church",,"A local church offering a food bank to community members in need.",,https://episcopalchurch.org/parish/st-philips-episcopal-church-washington-dc,,,,
155,"Crowder Owens Food Bank","Previously: Calvary's Food Bank","A food bank offering food to those in need.",,,,,,
156,"Whitman-Walker Health",,"Our mission is to offer affirming community-based health and wellness services to all with a special expertise in LGBTQ and HIV care. We empower all persons to live healthy, love openly, and achieve equality and inclusion. Through multiple locations throughout DC, we provide stigma-free care to anyone who walks through our doors. We are proud and honored to be a place where the gay, lesbian, bisexual, transgender and queer communities, as well to those living with or affected by HIV feel supported, welcomed and respected.",appointments@whitman-walker.org,http://whitman-walker.org,,,,
157,PIDARC,"Partners in Drug Abuse Rehabilitation and Counseling","PIDARC provides pharmacological intervention through methadone maintenance along with a variety of other therapeutic modalities.",,https://pidarcdc.org/,,,,
158,"Hospital for Sick Children (HSC)",,"The HSC Health Care System combines the resources of a health plan, pediatric hospital, home health agency, rehabilitative therapy centers and nonprofit foundation to serve and empower families with complex health care needs.",,https://hschealth.org/medical-programs-therapy,,,,
159,"Clean and Sober Streets",,"Clean and Sober Streets offers long term residential and outpatient drug and alcohol treatment and rehabilitation services for men and women who are willing to recover in Washington, DC.",,http://cleanandsoberstreets.org/Welcome.html,,,,
160,"The Arc District of Columbia",,"ARC DC helps improve the quality of life for individuals with intellectual and developmental disabilities and their families through support and advocacy. They offer counseling, family support, supportive employment opportunities, and day programs.",,http://arcdc.net,,,,
161,"Advocates for Justice and Education",,,,http://www.aje-dc.org/,,,,
162,"Sibley Memorial Hospital",,"Sibley Memorial Hospital provides a wide range of healthcare services to the Washington, D.C., area communities. We offer medical, surgical, intensive care, obstetric, oncology, orthopaedic, and a variety of other inpatient and outpatient services, as well as a 24-hour Emergency Department.",,https://www.hopkinsmedicine.org/sibley-memorial-hospital/,,,,
163,"HEALTH CARE FOR THE HOMELESS COALITION",,"Provides Mental Health services",,http://www.dccfh.org,,,,
164,"Children's National Hospital","Children's National Health System","Children's hospital providing comprehensive medical and specialty services.

With a health care experience designed around kids' unique needs, Children's National Hospital is the premier provider of pediatric services in the Washington, D.C., metro area and its only health system specializing in kids. 

Our pediatric specialists are internationally recognized for providing the best possible care. In fact, Children&rsquo;s National is ranked #6 nationally in the U.S. News & World Report Best Children&rsquo;s Hospitals annual rankings. Additionally, Children's is ranked #1 in neonatology and is Magnet&reg;-designated for excellence in nursing.

Children's National is one of only twelve children&rsquo;s hospitals in the country to attain Level 1 Surgery Verification from the American College of Surgeons. This distinction recognizes surgery centers who have improved surgical quality, prevented complications, reduced costs and saved lives.

We&rsquo;ve also earned a global reputation for pioneering new therapies and treatments, including heart, cancer, neurology, and general surgery innovations. Home to the Children&rsquo;s Research Institute and the Sheikh Zayed Institute for Pediatric Surgical Innovation, Children&rsquo;s National is ranked seventh in NIH research funding for pediatric institutions. 

We&rsquo;re also recognized as committed advocates for children on local, state, and federal health policy. In fact, we&rsquo;re often the first at the table when pediatric healthcare legislation is being developed. ",,https://childrensnational.org,,,,
165,"Doctor's Community Hospital",,,,https://www.dchweb.org/,,,,
166,"Lutheran Church of the Reformation`",,"A local church providing a food pantry and AA meetings. Community",,https://www.reformationdc.org/,,,,
167,"ST. STEPHEN AND THE INCARNATION CHURCH: LOAVES AND FISHES",,"Provides a free, hot, mid-day meal to anyone who is hungry on Saturday, Sunday and federal holidays. Additionally, guests can receive assistance in signing up for Food Stamps, and referrals for job counseling and medical care.",,http://saintstephensdc.org,,,,
168,"Habitat for Humanity (DC)",,"Here at DC Habitat, our goal is to eliminate substandard housing in Washington because we believe that everyone deserves a safe, decent, affordable place to live. We&rsquo;re working toward that mission by providing affordable homeownership opportunities, affordable home repairs, and post-purchase homeowner education to local families. Scroll down to learn more about our programs, how you can qualify and apply, and view other local housing resources.",,https://dchabitat.org,,,,
169,"JOINT BASE ANACOSTIA-BOLLING: AIR FORCE CAREER FOCUS",,"Provides assistance to military family members, active duty and retirees in securing employment. Home visits: Downtown",,http://cnic.navy.mil/ffr/family_readiness/fleet_and_family_support_program.html,,,,
170,"Marshall Heights Community Development Organization",,"Offers housing assistance through a Homebuyers Club, HPAP and Housing Counseling programs. Also provides business, economic and workforce development programs. Specializes in assessment, job development and placement, education and vocational skills training",info@mhcdo.org,http://MHCDO.org,,,,
171,"Woodley House",,"Woodley House offers safe, affordable housing and clinical life skills training for men and women with mental illness, empowering them to work at their own pace toward recovery and greater independence. Residents receive 24/7 care and supervision they need as they progress through the recovery process. Our continuum of care allows someone in crisis to enter our program, become stable, transfer to a group living situation and hopefully progress to a supported independent living apartment.

Exact addresses for various programs are not listed.",,http://woodleyhouse.org,,,,
172,"First Baptist Church of Deanwood",,"A church offering a food pantry, clothing closet, and lunch.",churchbiz@thefbcd.org,http://thefirstbaptistchurchofdeanwood.org,,,,
173,"TERRIFIC, INC. (WARD 1): CASE/CARE MANAGEMENT",,"Provides Case Management services.",,http://terrificinc.org/,,,,
174,"Housing Counseling Services (HCS)",,"Provides housing counseling services, training, and advocacy for low and moderate income homebuyers, homeowners, and tenants in the Washington Metropolitan area. Emergency Rental Assistance, Rental Housing Search, Foreclosure Prevention, Eviction Prevention, Home Purchase, Home Renovations, Tenant Counseling, Homeless Veterans Rehousing, Lead Safe Repairs, Coop/condo training, Credit Counseling, Reverse Mortgage Counseling, Housing Preservation Counseling",info@housingetc.org,http://housingetc.org,,,,
175,"Spanish Catholic Center (SCC)",,"For more than 50 years, the Spanish Catholic Center has been offering medical and dental clinics, job training programs, English classes, a food pantry and case management services in four locations. The Spanish Catholic Center offers holistic services to immigrants from around the world. The multicultural staff of the Center speak more than eight different languages and have experience working with individuals from more than 72 different cultural contexts.",,https://www.catholiccharitiesdc.org/scc/,,,,
176,"Catholic Charities of the Archdiocese of Washington",,"We operate 59 programs in 35 locations all in Washington, DC and the surrounding five Maryland counties.
Some of the ways we help include:
- Legal and financial
- Food assistance
- Employment and adult education
- Housing and shelter programs
- Developmental disabilities help
- Infants and expecting parents
- Health care programs
- Help for children and teens
- Kennedy school (non-public day school for folks with disabilities ages 6-22)
- Emergency help
- Immigrant and refugee services
- Prison outreach
- Mental health services",,https://www.catholiccharitiesdc.org/,,,,
177,"ETHIOPIAN COMMUNITY CENTER: COMPUTER TRAINING",,"Offers computer training at minimal charge.",,http://ethiopiancommunitydc.org,,,,
178,"Community of Hope",,"Community of Hope&rsquo;s mission is to create opportunities for low-income families in Washington, DC, including those experiencing homelessness, to achieve good health, a stable home, family-sustaining income, and hope. Main areas of services are health and housing.",,https://www.communityofhopedc.org/,,,,
179,"GREATER WASHINGTON URBAN LEAGUE: D.C. EMERGENCY ASSISTANCE FUND",,"Provides rent/mortgage and utility assistance to individuals and families living in Ward 5 of the District of Columbia through the D.C. Emergency Assistance Fund.",,http://gwul.org,,,,
180,"Children's Law Center",,"Provides comprehensive legal services to advocate for and protect vulnerable children in DC. Topics range from housing, to education, to neglect, to the foster care system, and more.

On any given day, we are helping hundreds of children solve problems that no child should face. No child should have to wonder who to live with when his parents can no longer safely care for him. No child should have to fight for the special education services she needs so she can learn.  No child should have to go to court to ensure his landlord fixes the heat and water in his basement apartment during the frigid winter months.",,https://www.childrenslawcenter.org,,,,
181,"DC PUBLIC LIBRARY SYSTEM",,"The DC Public Libraries have varying hours of operation and all offer a wide range of services. Beyond checking out books, the Library offers adult education/literacy courses, computer courses, tax preparation assistance, college planning services, and services for job seekers. For more information on each specific library branch refer to the DCPL website. Residents of the DC Metropolitan Area can apply for a library card online or in person by providing identification that includes name and address.",,http://dclibrary.org/,,,,
182,"Allen Community Outreach Center",,,,,,,,
183,"KUEHNER PLACE, SHELTER FOR ABUSE ELDERLY AND NEGLECTED",,"Provides coalition for the Homeless, Headquarters services",,http://some.org/services/senior-services/,,,,
184,"VETERANS AFFAIRS (VA) OUTPATIENT CLINIC: SOUTHEAST WASHINGTON D.C.",,"The Community Based Outpatient Clinic (CBOC) Southeast provides basic medical and preventative care, health education, mental health services, addiction counseling, comprehensive women's health care and nutritional counseling to eligible veterans. Referral services are provided for those who require specialized care.",,http://www.washingtondc.va.gov/locations/,,,,
185,"Sasha Bruce",,"Provides GED preparation, vocational classroom training in carpentry, and on-site carpentry experience for young people not currently enrolled in school.",info@sashabruce.org,http://sashabruce.org,,,,
186,"DASH (District Alliance for Safe Housing)",,"DASH is an innovator in providing access to safe housing and services for survivors of domestic and sexual violence and their families as they rebuild their lives on their own terms.

We seek to strengthen and expand the local safety net for survivors by providing high quality, voluntary services that are responsive to their individual needs and by engaging lawmakers, community members, service providers, and survivors in the movement to make safe housing more accessible in the short-term and less necessary in the long-term.",,https://www.dashdc.org/,,,,
187,"Barbara Chambers Children's Center",,,info@barbarachambers.org,https://barbarachambers.org/,,,,
188,"FAMILY PLACE: EMERGENCY ASSISTANCE PROGRAM",,"Provides hospitality, resources, and support services to expectant parents and families with young children (through the age of five). Helps meet emergency needs, provides information and education and enhances long-term family stability",,http://thefamilyplacedc.org,,,,
189,"Mazique Parent Child Resource Center","Edward C Mazique Parent Child Resource Center","Mazique is a child development center that assists parents in developing skills, obtaining knowledge and becoming responsible advocates in ways that empower them to successfully promote their children&rsquo;s growth and development, while simultaneously receiving valuable tools that promote and lead families to complete self-sufficiency.",,https://www.mazique.org/,,,,
190,"Asbury United Methodist Church","Formerly: Asbury Chapel","A local church offering services to the community.",asburymail@asburyumcdc.org,https://www.asburyumcdc.org/,,,,
191,"UNIDOSUS: ADVOCACY AND EMPOWERMENT",,"UnidosUS, formerly known as, National Council of La Raza, seeks to ensure Hispanic American representation at all levels of government, to promote equitable participation of Latinos in public policy debates and programs, and to protect Hispanic civil rights.",,http://www.unidosus.org/,,,,
192,"Bread for the City",,"Provides services around food, clothing, healthcare (and dental care), social services, legal services, and representative payee agreements.",info@breadforthecity.org,http://breadforthecity.org/,,,,
193,"United Planning Organization",UPO,"Since 1962, the United Planning Organization (UPO) has focused on changing lives &mdash; supporting and inspiring Washington, DC&rsquo;s low-income residents on their journey to self-sufficiency and success.
We currently offer more than 30 programs and services in such areas as early childhood education, youth development, job training and placement, health and wellness, housing, and volunteering.
UPO is a family, and we understand the importance of supporting both individuals and the loved ones who surround them. Working in and with the community, we will continue helping people get where they want and need to be.",info@upo.org,https://www.upo.org,,,,
194,"Covenant Baptist Church",,"A local church providing a variety of services to the community.",info@covenantdc.org,http://www.covenantdc.org/,,,,
195,"VETERANS AFFAIRS MEDICAL CENTER: WASHINGTON D. C.",,"The Washington D.C. Veterans Affairs Medical Center (D.C.VAMC) is among the most visible and dynamic facilities in the VA system. As a tertiary care facility, D.C.VAMC provides acute general and specialized services in medicine, surgery, neurology, psychiatry, dentistry and numerous other subspecialties. The Medical Center, part of the VA Capitol Health Care Network (VISN 5), offers long-term care treatment in the 120-bed Comprehensive Nursing and Rehabilitation Center (CNRC). It operates four Community Based Outpatient Clinics (CBOCs) and is a Veterans Health Administration test site for enhancements in the electronic medical record. The Medical Center is affiliated with three outstanding medical schools and is a medical readiness partner with three Department of Defense medical facilities. The D.C.VAMC supports hundreds of active research projects and is home to one of two VA War Related Illness and Injury Study Centers (WRIISC).",,http://va.gov/directory/guide/facility.asp?id=143,,,,
196,"Seabury Resource for Aging",,"Provides Case Management services",info@seaburyresources.org,http://www.seaburyresources.org,,,,
197,"We Are Family",,"Grounded in grassroots senior leadership, We Are Family mobilizes a committed corps of volunteers to reach out to isolated inner-city seniors with free services, advocacy, and companionship, building a network of caring eyes and ears that enables at-risk seniors to age in place. More than simply a social service provider, We Are Family is a bold experiment in building caring, just and inclusive community.",info@wearefamilydc.org,https://www.wearefamilydc.org/,,,,
198,"St Anthony of Padua Church (VA)",,"A local church offering services to community members.",,https://stanthonyofpaduacommunity.com/parish/,,,,
199,"La Casa",,"A transitional housing rehab program for homeless men.",,,,,,
200,"Metro Teen Aids",,,,,,,,
201,"East River Family Strengthening Collaborative, Inc. (ERFSC)",ERFSC,"The mission of East River Family Strengthening Collaborative, Inc. (ERFSC) is to empower families, youth, seniors and communities to become more self-sufficient through integrated and collaborative community based services utilizing evidence based practices that are family focused and person-centered.",info@erfsc.org,http://erfsc.org/,,,,
